1916 uprising in Hilla;‘Ākif Beg;Muhammad ‘Ali al-Qazwini
Meuse–Argonne offensive;Henri Berthelot;Paul von Hindenburg
Meuse–Argonne offensive;Henri Berthelot;Erich Ludendorff
Meuse–Argonne offensive;Henri Berthelot;Crown Prince Wilhelm of Germany
Meuse–Argonne offensive;Henri Berthelot;Max von Gallwitz
Meuse–Argonne offensive;Henri Berthelot;Albrecht of Württemberg
Meuse–Argonne offensive;Hunter Liggett;Paul von Hindenburg
Meuse–Argonne offensive;Hunter Liggett;Erich Ludendorff
Meuse–Argonne offensive;Hunter Liggett;Crown Prince Wilhelm of Germany
Meuse–Argonne offensive;Hunter Liggett;Max von Gallwitz
Meuse–Argonne offensive;Hunter Liggett;Albrecht of Württemberg
Meuse–Argonne offensive;Robert L. Bullard;Paul von Hindenburg
Meuse–Argonne offensive;Robert L. Bullard;Erich Ludendorff
Meuse–Argonne offensive;Robert L. Bullard;Crown Prince Wilhelm of Germany
Meuse–Argonne offensive;Robert L. Bullard;Max von Gallwitz
Meuse–Argonne offensive;Robert L. Bullard;Albrecht of Württemberg
Monastir offensive;Maurice Sarrail;Nikola Zhekov
Monastir offensive;Maurice Sarrail;Dimitar Geshov
Monastir offensive;Maurice Sarrail;Georgi Todorov (general)
Monastir offensive;Maurice Sarrail;Otto von Below Arnold von Winkler
Monastir offensive;Maurice Sarrail;Abdul Kerim Pasha
Monastir offensive;Petar Bojović;Nikola Zhekov
Monastir offensive;Petar Bojović;Dimitar Geshov
Monastir offensive;Petar Bojović;Georgi Todorov (general)
Monastir offensive;Petar Bojović;Otto von Below Arnold von Winkler
Monastir offensive;Petar Bojović;Abdul Kerim Pasha
Monastir offensive;Živojin Mišić;Nikola Zhekov
Monastir offensive;Živojin Mišić;Dimitar Geshov
Monastir offensive;Živojin Mišić;Georgi Todorov (general)
Monastir offensive;Živojin Mišić;Otto von Below Arnold von Winkler
Monastir offensive;Živojin Mišić;Abdul Kerim Pasha
Monastir offensive;George Milne;Nikola Zhekov
Monastir offensive;George Milne;Dimitar Geshov
Monastir offensive;George Milne;Georgi Todorov (general)
Monastir offensive;George Milne;Otto von Below Arnold von Winkler
Monastir offensive;George Milne;Abdul Kerim Pasha
Monastir offensive;Carlo Petitti di Roreto;Nikola Zhekov
Monastir offensive;Carlo Petitti di Roreto;Dimitar Geshov
Monastir offensive;Carlo Petitti di Roreto;Georgi Todorov (general)
Monastir offensive;Carlo Petitti di Roreto;Otto von Below Arnold von Winkler
Monastir offensive;Carlo Petitti di Roreto;Abdul Kerim Pasha
Monastir offensive;Mikhail Diterikhs;Nikola Zhekov
Monastir offensive;Mikhail Diterikhs;Dimitar Geshov
Monastir offensive;Mikhail Diterikhs;Georgi Todorov (general)
Monastir offensive;Mikhail Diterikhs;Otto von Below Arnold von Winkler
Monastir offensive;Mikhail Diterikhs;Abdul Kerim Pasha
Morava Offensive;Kliment Boyadzhiev;Stepa Stepanović
Nagyszeben Offensive;Ioan Culcer;Arthur Arz von Straussenburg
Nagyszeben Offensive;Ioan Culcer;Arnold Barwick
Nagyszeben Offensive;Ioan Culcer;Béla Tanárky
Nagyszeben Offensive;Traian Moșoiu;Arthur Arz von Straussenburg
Nagyszeben Offensive;Traian Moșoiu;Arnold Barwick
Nagyszeben Offensive;Traian Moșoiu;Béla Tanárky
Nagyszeben Offensive;Gheorghe Cantacuzino-Grănicerul;Arthur Arz von Straussenburg
Nagyszeben Offensive;Gheorghe Cantacuzino-Grănicerul;Arnold Barwick
Nagyszeben Offensive;Gheorghe Cantacuzino-Grănicerul;Béla Tanárky
Narew Offensive;Paul von Hindenburg;Mikhail Alekseyev
Narew Offensive;Paul von Hindenburg;Alexander Litvinov
Narew Offensive;Erich Ludendorff;Mikhail Alekseyev
Narew Offensive;Erich Ludendorff;Alexander Litvinov
Narew Offensive;Max Hoffmann;Mikhail Alekseyev
Narew Offensive;Max Hoffmann;Alexander Litvinov
Narew Offensive;Max von Gallwitz;Mikhail Alekseyev
Narew Offensive;Max von Gallwitz;Alexander Litvinov
Naulila Incident;Manuel Álvares Sereno;Hans Schultze-Jena
Naulila Incident;Manuel Álvares Sereno;Alexander Lösch
Naulila Incident;Manuel Álvares Sereno;Kurt Röder
Naulila Incident;Manuel Álvares Sereno;Carl Jensen
Naulila Incident;Manuel Álvares Sereno;Andreas
Naulila Incident;Manuel Álvares Sereno;Hugo
Night action at the Battle of Jutland;John Jellicoe;Reinhard Scheer
Night action at the Battle of Jutland;John Jellicoe;Franz von Hipper
Night action at the Battle of Jutland;David Beatty;Reinhard Scheer
Night action at the Battle of Jutland;David Beatty;Franz von Hipper
Night action of 1__2 December 1917;Douglas Haig;Crown Prince Rupprecht of Bavaria
Ninth Battle of the Isonzo;Luigi Cadorna;Svetozar Boroević
Nivelle offensive;Robert Nivelle;Erich Ludendorff
Nivelle offensive;Robert Nivelle;Crown Prince Wilhelm of Germany
Nivelle offensive;Douglas Haig;Erich Ludendorff
Nivelle offensive;Douglas Haig;Crown Prince Wilhelm of Germany
Noemvriana;Ioannis Metaxas;Louis Dartige du Fournet
Noemvriana;Viktor Dousmanis;Louis Dartige du Fournet
Noemvriana;Anastasios Papoulas;Louis Dartige du Fournet
Operations on the Ancre-- January–March 1917;Douglas Haig;Erich Ludendorff
Operations on the Ancre-- January–March 1917;Douglas Haig;Crown Prince Rupprecht of Bavaria
Operations on the Ancre-- January–March 1917;Douglas Haig;Max von Gallwitz
Operations on the Ancre-- January–March 1917;Hubert Gough;Erich Ludendorff
Operations on the Ancre-- January–March 1917;Hubert Gough;Crown Prince Rupprecht of Bavaria
Operations on the Ancre-- January–March 1917;Hubert Gough;Max von Gallwitz
Operations on the Ancre-- January–March 1917;Henry Rawlinson, 1st Baron Rawlinson;Erich Ludendorff
Operations on the Ancre-- January–March 1917;Henry Rawlinson, 1st Baron Rawlinson;Crown Prince Rupprecht of Bavaria
Operations on the Ancre-- January–March 1917;Henry Rawlinson, 1st Baron Rawlinson;Max von Gallwitz
Operations on the Ancre-- January–March 1917;Robert Nivelle;Erich Ludendorff
Operations on the Ancre-- January–March 1917;Robert Nivelle;Crown Prince Rupprecht of Bavaria
Operations on the Ancre-- January–March 1917;Robert Nivelle;Max von Gallwitz
Operations on the Ancre-- January–March 1917;Douglas Haig;Erich Ludendorff
Operations on the Ancre-- January–March 1917;Douglas Haig;Crown Prince Rupprecht of Bavaria
Operations on the Ancre-- January–March 1917;Douglas Haig;Max von Gallwitz
Operations on the Ancre-- January–March 1917;Hubert Gough;Erich Ludendorff
Operations on the Ancre-- January–March 1917;Hubert Gough;Crown Prince Rupprecht of Bavaria
Operations on the Ancre-- January–March 1917;Hubert Gough;Max von Gallwitz
Operations on the Ancre-- January–March 1917;Henry Rawlinson, 1st Baron Rawlinson;Erich Ludendorff
Operations on the Ancre-- January–March 1917;Henry Rawlinson, 1st Baron Rawlinson;Crown Prince Rupprecht of Bavaria
Operations on the Ancre-- January–March 1917;Henry Rawlinson, 1st Baron Rawlinson;Max von Gallwitz
Operations on the Ancre-- January–March 1917;Robert Nivelle;Erich Ludendorff
Operations on the Ancre-- January–March 1917;Robert Nivelle;Crown Prince Rupprecht of Bavaria
Operations on the Ancre-- January–March 1917;Robert Nivelle;Max von Gallwitz
Operation Alberich;Robert Nivelle;Erich Ludendorff
Operation Alberich;Robert Nivelle;Crown Prince Rupprecht of Bavaria
Operation Alberich;Robert Nivelle;Fritz von Below
Operation Alberich;Douglas Haig;Erich Ludendorff
Operation Alberich;Douglas Haig;Crown Prince Rupprecht of Bavaria
Operation Alberich;Douglas Haig;Fritz von Below
Operation Alberich;Hubert Gough;Erich Ludendorff
Operation Alberich;Hubert Gough;Crown Prince Rupprecht of Bavaria
Operation Alberich;Hubert Gough;Fritz von Below
Operation Alberich;Henry Rawlinson, 1st Baron Rawlinson;Erich Ludendorff
Operation Alberich;Henry Rawlinson, 1st Baron Rawlinson;Crown Prince Rupprecht of Bavaria
Operation Alberich;Henry Rawlinson, 1st Baron Rawlinson;Fritz von Below
Operation Albion;Oskar von Hutier;Mikhail Bakhirev
Operation Albion;Oskar von Hutier;Vasili Altfater
Operation Albion;Hugo von Kathen;Mikhail Bakhirev
Operation Albion;Hugo von Kathen;Vasili Altfater
Operation Albion;Ludwig von Estorff;Mikhail Bakhirev
Operation Albion;Ludwig von Estorff;Vasili Altfater
Operation Albion;Ehrhard Schmidt;Mikhail Bakhirev
Operation Albion;Ehrhard Schmidt;Vasili Altfater
Operation Faustschlag;Prince Leopold of Bavaria;Nikolai Krylenko
Operation Faustschlag;Max Hoffmann;Nikolai Krylenko
Operation Faustschlag;Erich von Falkenhayn;Nikolai Krylenko
Operation Faustschlag;Eduard von Böhm-Ermolli;Nikolai Krylenko
Operation Hush;Douglas Haig;Friedrich Sixt von Armin
Operation Hush;Douglas Haig;Ludwig von Schröder
Operation Hush;Henry Rawlinson, 1st Baron Rawlinson;Friedrich Sixt von Armin
Operation Hush;Henry Rawlinson, 1st Baron Rawlinson;Ludwig von Schröder
Operation Hush;Reginald Bacon;Friedrich Sixt von Armin
Operation Hush;Reginald Bacon;Ludwig von Schröder
Operation Hush;John Du Cane;Friedrich Sixt von Armin
Operation Hush;John Du Cane;Ludwig von Schröder
Operation Michael;Erich Ludendorff;Douglas Haig
Operation Michael;Erich Ludendorff;Ferdinand Foch
Operation Michael;Erich Ludendorff;Hubert Gough
Orsova Offensive;Ioan Culcer;Arthur Arz von Straussenburg
Orsova Offensive;Ioan Culcer;Rudolf von Fiebich-Ripke
Orsova Offensive;Ion Dragalina;Arthur Arz von Straussenburg
Orsova Offensive;Ion Dragalina;Rudolf von Fiebich-Ripke
Ovče Pole Offensive;Georgi Todorov (general);Damjan Popović
Petrozsény Offensive;Ioan Culcer;Arthur Arz von Straussenburg
Petrozsény Offensive;Ioan Culcer;Ludwig Berger (colonel)
Petrozsény Offensive;Ioan Muică;Arthur Arz von Straussenburg
Petrozsény Offensive;Ioan Muică;Ludwig Berger (colonel)
Petsamo expeditions;Thorsten Renvall;Captain Vincent Brown
Petsamo expeditions;Thorsten Renvall;Captain James Farie
Petsamo expeditions;Onni Laitinen;Captain Vincent Brown
Petsamo expeditions;Onni Laitinen;Captain James Farie
Petsamo expeditions;Helge Aspelund;Captain Vincent Brown
Petsamo expeditions;Helge Aspelund;Captain James Farie
Pitești–Târgoviște Retreat;Constantin Prezan;Curt von Morgen
Pitești–Târgoviște Retreat;Constantin Prezan;Konrad Krafft von Dellmensingen
Pitești–Târgoviște Retreat;Ion Antonescu;Curt von Morgen
Pitești–Târgoviște Retreat;Ion Antonescu;Konrad Krafft von Dellmensingen
Pitești–Târgoviște Retreat;Dumitru Stratilescu;Curt von Morgen
Pitești–Târgoviște Retreat;Dumitru Stratilescu;Konrad Krafft von Dellmensingen
Pursuit of Goeben and Breslau;Berkeley Milne;Wilhelm Souchon
Pursuit of Goeben and Breslau;Ernest Troubridge;Wilhelm Souchon
Pursuit of Goeben and Breslau;Augustin Boué de Lapeyrère;Wilhelm Souchon
Pursuit to Haritan;Edmund Allenby;Liman von Sanders
Pursuit to Haritan;Edmund Allenby;Mustafa Kemal Atatürk
Pursuit to Haritan;Edmund Allenby;Cevat Çobanlı
Pursuit to Haritan;Edmund Allenby;Gustav von Oppen
Pursuit to Haritan;Edward Bulfin;Liman von Sanders
Pursuit to Haritan;Edward Bulfin;Mustafa Kemal Atatürk
Pursuit to Haritan;Edward Bulfin;Cevat Çobanlı
Pursuit to Haritan;Edward Bulfin;Gustav von Oppen
Pursuit to Haritan;Harry Chauvel;Liman von Sanders
Pursuit to Haritan;Harry Chauvel;Mustafa Kemal Atatürk
Pursuit to Haritan;Harry Chauvel;Cevat Çobanlı
Pursuit to Haritan;Harry Chauvel;Gustav von Oppen
Pursuit to Haritan;Emir Faisal;Liman von Sanders
Pursuit to Haritan;Emir Faisal;Mustafa Kemal Atatürk
Pursuit to Haritan;Emir Faisal;Cevat Çobanlı
Pursuit to Haritan;Emir Faisal;Gustav von Oppen
Raid on Porto Buso;Johannes Mareth;Arturo Ciano
Raid on Ruse;Constantin Niculescu-Rizea;Karl Lucich
Raid on Scarborough-- Hartlepool and Whitby;Franz von Hipper;George Warrender, 7th Baronet
Raid on Scarborough-- Hartlepool and Whitby;Franz von Hipper;David Beatty
Raid on Scarborough-- Hartlepool and Whitby;Friedrich von Ingenohl;George Warrender, 7th Baronet
Raid on Scarborough-- Hartlepool and Whitby;Friedrich von Ingenohl;David Beatty
Raid on Scarborough-- Hartlepool and Whitby;Franz von Hipper;George Warrender, 7th Baronet
Raid on Scarborough-- Hartlepool and Whitby;Franz von Hipper;David Beatty
Raid on Scarborough-- Hartlepool and Whitby;Friedrich von Ingenohl;George Warrender, 7th Baronet
Raid on Scarborough-- Hartlepool and Whitby;Friedrich von Ingenohl;David Beatty
Raid on the Suez Canal;John Maxwell;Ahmed Djemal
Raid on the Suez Canal;John Maxwell;Friedrich Kress von Kressenstein
Raid on Yarmouth;David Beatty;Franz von Hipper
Rearguard Affair of Le Grand Fayt;A. W. Abercrombie;Alexander von Kluck
Rearguard Affair of Le Grand Fayt;A. W. Abercrombie;Karl von Bülow
Rearguard Affair of Étreux;Horace Smith-Dorrien;Alexander von Kluck
Rearguard Affair of Étreux;Horace Smith-Dorrien;Karl von Bülow
Riga offensive (1917);Oskar von Hutier;Vladislav Klembovsky
Riga offensive (1917);Oskar von Hutier;Dmitri Parsky
Riga offensive (1917);Georg Bruchmüller;Vladislav Klembovsky
Riga offensive (1917);Georg Bruchmüller;Dmitri Parsky
Riga–Šiauliai offensive;Paul von Hindenburg;Mikhail Alekseyev
Riga–Šiauliai offensive;Paul von Hindenburg;Pavel Plehve
Riga–Šiauliai offensive;Erich Ludendorff;Mikhail Alekseyev
Riga–Šiauliai offensive;Erich Ludendorff;Pavel Plehve
Riga–Šiauliai offensive;Otto von Below;Mikhail Alekseyev
Riga–Šiauliai offensive;Otto von Below;Pavel Plehve
Riga–Šiauliai offensive;Otto von Lauenstein;Mikhail Alekseyev
Riga–Šiauliai offensive;Otto von Lauenstein;Pavel Plehve
Riga–Šiauliai offensive;Karl Ernst Manfred Freiherr von Richthofen;Mikhail Alekseyev
Riga–Šiauliai offensive;Karl Ernst Manfred Freiherr von Richthofen;Pavel Plehve
Romania in World War I;Erich von Falkenhayn;Ferdinand I of Romania
Romania in World War I;Erich von Falkenhayn;Constantin Prezan
Romania in World War I;Erich von Falkenhayn;Alexandru Averescu
Romania in World War I;Erich von Falkenhayn;Eremia Grigorescu
Romania in World War I;Erich von Falkenhayn;Ioan Culcer
Romania in World War I;Erich von Falkenhayn;Mihail Aslan
Romania in World War I;Erich von Falkenhayn;Vladimir Sakharov
Romania in World War I;Erich von Falkenhayn;Dmitry Shcherbachev
Romania in World War I;Erich von Falkenhayn;Andrei Zayonchkovski
Romania in World War I;Erich von Falkenhayn;Milenko Milićević
Romania in World War I;Erich von Falkenhayn;Henri Berthelot
Romania in World War I;August von Mackensen;Ferdinand I of Romania
Romania in World War I;August von Mackensen;Constantin Prezan
Romania in World War I;August von Mackensen;Alexandru Averescu
Romania in World War I;August von Mackensen;Eremia Grigorescu
Romania in World War I;August von Mackensen;Ioan Culcer
Romania in World War I;August von Mackensen;Mihail Aslan
Romania in World War I;August von Mackensen;Vladimir Sakharov
Romania in World War I;August von Mackensen;Dmitry Shcherbachev
Romania in World War I;August von Mackensen;Andrei Zayonchkovski
Romania in World War I;August von Mackensen;Milenko Milićević
Romania in World War I;August von Mackensen;Henri Berthelot
Romania in World War I;Johannes von Eben;Ferdinand I of Romania
Romania in World War I;Johannes von Eben;Constantin Prezan
Romania in World War I;Johannes von Eben;Alexandru Averescu
Romania in World War I;Johannes von Eben;Eremia Grigorescu
Romania in World War I;Johannes von Eben;Ioan Culcer
Romania in World War I;Johannes von Eben;Mihail Aslan
Romania in World War I;Johannes von Eben;Vladimir Sakharov
Romania in World War I;Johannes von Eben;Dmitry Shcherbachev
Romania in World War I;Johannes von Eben;Andrei Zayonchkovski
Romania in World War I;Johannes von Eben;Milenko Milićević
Romania in World War I;Johannes von Eben;Henri Berthelot
Romania in World War I;Charles I of Austria;Ferdinand I of Romania
Romania in World War I;Charles I of Austria;Constantin Prezan
Romania in World War I;Charles I of Austria;Alexandru Averescu
Romania in World War I;Charles I of Austria;Eremia Grigorescu
Romania in World War I;Charles I of Austria;Ioan Culcer
Romania in World War I;Charles I of Austria;Mihail Aslan
Romania in World War I;Charles I of Austria;Vladimir Sakharov
Romania in World War I;Charles I of Austria;Dmitry Shcherbachev
Romania in World War I;Charles I of Austria;Andrei Zayonchkovski
Romania in World War I;Charles I of Austria;Milenko Milićević
Romania in World War I;Charles I of Austria;Henri Berthelot
Romania in World War I;Arthur Arz von Straussenburg;Ferdinand I of Romania
Romania in World War I;Arthur Arz von Straussenburg;Constantin Prezan
Romania in World War I;Arthur Arz von Straussenburg;Alexandru Averescu
Romania in World War I;Arthur Arz von Straussenburg;Eremia Grigorescu
Romania in World War I;Arthur Arz von Straussenburg;Ioan Culcer
Romania in World War I;Arthur Arz von Straussenburg;Mihail Aslan
Romania in World War I;Arthur Arz von Straussenburg;Vladimir Sakharov
Romania in World War I;Arthur Arz von Straussenburg;Dmitry Shcherbachev
Romania in World War I;Arthur Arz von Straussenburg;Andrei Zayonchkovski
Romania in World War I;Arthur Arz von Straussenburg;Milenko Milićević
Romania in World War I;Arthur Arz von Straussenburg;Henri Berthelot
Romania in World War I;Franz Rohr von Denta;Ferdinand I of Romania
Romania in World War I;Franz Rohr von Denta;Constantin Prezan
Romania in World War I;Franz Rohr von Denta;Alexandru Averescu
Romania in World War I;Franz Rohr von Denta;Eremia Grigorescu
Romania in World War I;Franz Rohr von Denta;Ioan Culcer
Romania in World War I;Franz Rohr von Denta;Mihail Aslan
Romania in World War I;Franz Rohr von Denta;Vladimir Sakharov
Romania in World War I;Franz Rohr von Denta;Dmitry Shcherbachev
Romania in World War I;Franz Rohr von Denta;Andrei Zayonchkovski
Romania in World War I;Franz Rohr von Denta;Milenko Milićević
Romania in World War I;Franz Rohr von Denta;Henri Berthelot
Romania in World War I;Stefan Toshev;Ferdinand I of Romania
Romania in World War I;Stefan Toshev;Constantin Prezan
Romania in World War I;Stefan Toshev;Alexandru Averescu
Romania in World War I;Stefan Toshev;Eremia Grigorescu
Romania in World War I;Stefan Toshev;Ioan Culcer
Romania in World War I;Stefan Toshev;Mihail Aslan
Romania in World War I;Stefan Toshev;Vladimir Sakharov
Romania in World War I;Stefan Toshev;Dmitry Shcherbachev
Romania in World War I;Stefan Toshev;Andrei Zayonchkovski
Romania in World War I;Stefan Toshev;Milenko Milićević
Romania in World War I;Stefan Toshev;Henri Berthelot
Romania in World War I;Mustafa Hilmi Pasha;Ferdinand I of Romania
Romania in World War I;Mustafa Hilmi Pasha;Constantin Prezan
Romania in World War I;Mustafa Hilmi Pasha;Alexandru Averescu
Romania in World War I;Mustafa Hilmi Pasha;Eremia Grigorescu
Romania in World War I;Mustafa Hilmi Pasha;Ioan Culcer
Romania in World War I;Mustafa Hilmi Pasha;Mihail Aslan
Romania in World War I;Mustafa Hilmi Pasha;Vladimir Sakharov
Romania in World War I;Mustafa Hilmi Pasha;Dmitry Shcherbachev
Romania in World War I;Mustafa Hilmi Pasha;Andrei Zayonchkovski
Romania in World War I;Mustafa Hilmi Pasha;Milenko Milićević
Romania in World War I;Mustafa Hilmi Pasha;Henri Berthelot
Rovno offensive;Conrad von Hötzendorf;Nikolai Ivanov (general)
Rovno offensive;Conrad von Hötzendorf;Platon Lechitsky
Rovno offensive;Conrad von Hötzendorf;Aleksei Brusilov
Rovno offensive;Conrad von Hötzendorf;Vladimir Sakharov
Russian invasion of East Prussia (1914);Paul von Hindenburg;Grand Duke Nicholas
Russian invasion of East Prussia (1914);Paul von Hindenburg;Yakov Zhilinsky
Russian invasion of East Prussia (1914);Paul von Hindenburg;Paul von Rennenkampf
Russian invasion of East Prussia (1914);Paul von Hindenburg;Alexander Samsonov
Russian invasion of East Prussia (1914);Paul von Hindenburg;Vasily Flug
Russian invasion of East Prussia (1914);Erich Ludendorff;Grand Duke Nicholas
Russian invasion of East Prussia (1914);Erich Ludendorff;Yakov Zhilinsky
Russian invasion of East Prussia (1914);Erich Ludendorff;Paul von Rennenkampf
Russian invasion of East Prussia (1914);Erich Ludendorff;Alexander Samsonov
Russian invasion of East Prussia (1914);Erich Ludendorff;Vasily Flug
Russian invasion of East Prussia (1914);Max Hoffmann;Grand Duke Nicholas
Russian invasion of East Prussia (1914);Max Hoffmann;Yakov Zhilinsky
Russian invasion of East Prussia (1914);Max Hoffmann;Paul von Rennenkampf
Russian invasion of East Prussia (1914);Max Hoffmann;Alexander Samsonov
Russian invasion of East Prussia (1914);Max Hoffmann;Vasily Flug
Russian invasion of East Prussia (1914);Maximilian von Prittwitz;Grand Duke Nicholas
Russian invasion of East Prussia (1914);Maximilian von Prittwitz;Yakov Zhilinsky
Russian invasion of East Prussia (1914);Maximilian von Prittwitz;Paul von Rennenkampf
Russian invasion of East Prussia (1914);Maximilian von Prittwitz;Alexander Samsonov
Russian invasion of East Prussia (1914);Maximilian von Prittwitz;Vasily Flug
Samarra offensive;Frederick Stanley Maude;Halil Kut
Samarra offensive;Frederick Stanley Maude;Ali İhsan Sâbis
Scuttling of SMS Cormoran;Roy Campbell Smith;Adalbert Zuckschwerdt
Second Battle of Amman;Edmund Allenby;Liman von Sanders
Second Battle of Amman;Edmund Allenby;Cemal Mersinli
Second Battle of Amman;Edward Chaytor;Liman von Sanders
Second Battle of Amman;Edward Chaytor;Cemal Mersinli
Second Battle of Artois;Joseph Joffre;Crown Prince Rupprecht of Bavaria
Second Battle of Artois;Victor d'Urbal;Crown Prince Rupprecht of Bavaria
Second Battle of Artois;Douglas Haig;Crown Prince Rupprecht of Bavaria
Second Battle of Bapaume;George Harper (British Army officer);Otto von Below
Second Battle of Bolimów;Paul von Hindenburg;Vladimir Vasilyevich Smirnov
Second Battle of Bolimów;Erich Ludendorff;Vladimir Vasilyevich Smirnov
Second Battle of Champagne;Joseph Joffre;Erich von Falkenhayn
Second Battle of Champagne;Joseph Joffre;Karl von Einem
Second Battle of Champagne;Philippe Pétain;Erich von Falkenhayn
Second Battle of Champagne;Philippe Pétain;Karl von Einem
Second Battle of Cobadin;August von Mackensen;Alexandru Averescu
Second Battle of Cobadin;August von Mackensen;Alexandru Socec
Second Battle of Cobadin;August von Mackensen;Alexandru Hartel
Second Battle of Cobadin;August von Mackensen;Constantin Scărișoreanu
Second Battle of Cobadin;August von Mackensen;Traian Găiseanu
Second Battle of Cobadin;August von Mackensen;Eremia Grigorescu
Second Battle of Cobadin;August von Mackensen;Andrei Zayonchkovski
Second Battle of Cobadin;Stefan Toshev;Alexandru Averescu
Second Battle of Cobadin;Stefan Toshev;Alexandru Socec
Second Battle of Cobadin;Stefan Toshev;Alexandru Hartel
Second Battle of Cobadin;Stefan Toshev;Constantin Scărișoreanu
Second Battle of Cobadin;Stefan Toshev;Traian Găiseanu
Second Battle of Cobadin;Stefan Toshev;Eremia Grigorescu
Second Battle of Cobadin;Stefan Toshev;Andrei Zayonchkovski
Second Battle of Cobadin;Todor Kantardzhiev;Alexandru Averescu
Second Battle of Cobadin;Todor Kantardzhiev;Alexandru Socec
Second Battle of Cobadin;Todor Kantardzhiev;Alexandru Hartel
Second Battle of Cobadin;Todor Kantardzhiev;Constantin Scărișoreanu
Second Battle of Cobadin;Todor Kantardzhiev;Traian Găiseanu
Second Battle of Cobadin;Todor Kantardzhiev;Eremia Grigorescu
Second Battle of Cobadin;Todor Kantardzhiev;Andrei Zayonchkovski
Second Battle of Cobadin;Ivan Kolev (general);Alexandru Averescu
Second Battle of Cobadin;Ivan Kolev (general);Alexandru Socec
Second Battle of Cobadin;Ivan Kolev (general);Alexandru Hartel
Second Battle of Cobadin;Ivan Kolev (general);Constantin Scărișoreanu
Second Battle of Cobadin;Ivan Kolev (general);Traian Găiseanu
Second Battle of Cobadin;Ivan Kolev (general);Eremia Grigorescu
Second Battle of Cobadin;Ivan Kolev (general);Andrei Zayonchkovski
Second Battle of Cobadin;Panteley Kiselov;Alexandru Averescu
Second Battle of Cobadin;Panteley Kiselov;Alexandru Socec
Second Battle of Cobadin;Panteley Kiselov;Alexandru Hartel
Second Battle of Cobadin;Panteley Kiselov;Constantin Scărișoreanu
Second Battle of Cobadin;Panteley Kiselov;Traian Găiseanu
Second Battle of Cobadin;Panteley Kiselov;Eremia Grigorescu
Second Battle of Cobadin;Panteley Kiselov;Andrei Zayonchkovski
Second Battle of Cobadin;Ianko Draganov;Alexandru Averescu
Second Battle of Cobadin;Ianko Draganov;Alexandru Socec
Second Battle of Cobadin;Ianko Draganov;Alexandru Hartel
Second Battle of Cobadin;Ianko Draganov;Constantin Scărișoreanu
Second Battle of Cobadin;Ianko Draganov;Traian Găiseanu
Second Battle of Cobadin;Ianko Draganov;Eremia Grigorescu
Second Battle of Cobadin;Ianko Draganov;Andrei Zayonchkovski
Second Battle of Cobadin;Stefan Popov (general);Alexandru Averescu
Second Battle of Cobadin;Stefan Popov (general);Alexandru Socec
Second Battle of Cobadin;Stefan Popov (general);Alexandru Hartel
Second Battle of Cobadin;Stefan Popov (general);Constantin Scărișoreanu
Second Battle of Cobadin;Stefan Popov (general);Traian Găiseanu
Second Battle of Cobadin;Stefan Popov (general);Eremia Grigorescu
Second Battle of Cobadin;Stefan Popov (general);Andrei Zayonchkovski
Second Battle of Cobadin;Mustafa Hilmi Pasha;Alexandru Averescu
Second Battle of Cobadin;Mustafa Hilmi Pasha;Alexandru Socec
Second Battle of Cobadin;Mustafa Hilmi Pasha;Alexandru Hartel
Second Battle of Cobadin;Mustafa Hilmi Pasha;Constantin Scărișoreanu
Second Battle of Cobadin;Mustafa Hilmi Pasha;Traian Găiseanu
Second Battle of Cobadin;Mustafa Hilmi Pasha;Eremia Grigorescu
Second Battle of Cobadin;Mustafa Hilmi Pasha;Andrei Zayonchkovski
Second Battle of Edea;Mayer;Carl Heinrich Zimmermann
Second Battle of Garua;Frederick Hugh Cunliffe;Captain von Crailsheim
Second Battle of Gaza;Archibald Murray;Friedrich Kress von Kressenstein
Second Battle of Gaza;Archibald Murray;Ahmed Djemal
Second Battle of Gaza;Archibald Murray;Rafael de Nogales Méndez
Second Battle of Gaza;Charles Dobell;Friedrich Kress von Kressenstein
Second Battle of Gaza;Charles Dobell;Ahmed Djemal
Second Battle of Gaza;Charles Dobell;Rafael de Nogales Méndez
Second Battle of Heligoland Bight;Trevylyan Napier;Ludwig von Reuter
Second Battle of Heligoland Bight;William Christopher Pakenham;Ludwig von Reuter
Second Battle of Krithia;Aylmer Hunter-Weston;Liman von Sanders
Second Battle of Krithia;Aylmer Hunter-Weston;Erich Weber
Second Battle of Krithia;Antoine Masnou;Liman von Sanders
Second Battle of Krithia;Antoine Masnou;Erich Weber
Second Battle of Kut;Frederick Stanley Maude;Kâzım Karabekir
Second Battle of Oituz;Constantin Prezan;Arthur Arz von Straussenburg
Second Battle of Oituz;Constantin Prezan;Friedrich von Gerok (officer)
Second Battle of Oituz;Eremia Grigorescu;Arthur Arz von Straussenburg
Second Battle of Oituz;Eremia Grigorescu;Friedrich von Gerok (officer)
Second Battle of Oituz;Nicolae Sinescu;Arthur Arz von Straussenburg
Second Battle of Oituz;Nicolae Sinescu;Friedrich von Gerok (officer)
Second Battle of Passchendaele;Herbert Plumer;Friedrich Sixt von Armin
Second Battle of Passchendaele;Hubert Gough;Friedrich Sixt von Armin
Second Battle of Passchendaele;Arthur Currie;Friedrich Sixt von Armin
Second Battle of Passchendaele;François Anthoine;Friedrich Sixt von Armin
